|         535 |   65 | Male   | Gloves         | Accessories |              72 | Florida        | L    | Pink      | Fall   |           4.5 | Yes      | Next Day Air   | Yes              |                  4 | PayPal         | Quarterly              | Senior      |                      90 |
|         578 |   19 | Male   | Skirt          | Clothing    |              52 | Alabama        | M    | Black     | Fall   |           3.7 | Yes      | Store Pickup   | Yes              |                 41 | Venmo          | Annually               | Young Adult |                     365 |
|         579 |   69 | Male   | Sandals        | Footwear    |              90 | Maine          | M    | Purple    | Fall   |           4.6 | Yes      | Next Day Air   | Yes              |                 22 | Credit Card    | Fortnightly            | Senior      |                      14 |
|         580 |   58 | Male   | Sandals        | Footwear    |              41 | California     | M    | Violet    | Winter |           3.7 | Yes      | Free Shipping  | Yes              |                 48 | Credit Card    | Annually               | Senior      |                     365 |
|         581 |   49 | Male   | Sweater        | Clothing    |              80 | Iowa           | M    | Orange    | Spring |           4.1 | Yes      | Free Shipping  | Yes              |                 10 | PayPal         | Weekly                 | Middle-Aged |                       7 |
|         582 |   32 | Male   | Sweater        | Clothing    |             100 | Iowa           | XL   | Charcoal  | Winter |           2.7 | Yes      | Store Pickup   | Yes              |                 12 | Bank Transfer  | Every 3 Months         | Adult       |                      90 |
|         583 |   40 | Male   | Jacket         | Outerwear   |              77 | Colorado       | L    | Turquoise | Spring |           4.9 | Yes      | Store Pickup   | Yes              |                  2 | Bank Transfer  | Quarterly              | Adult       |                      90 |
|         584 |   25 | Male   | Shorts         | Clothing    |              78 | California     | L    | Yellow    | Spring |             4 | Yes      | Store Pickup   | Yes              |                 38 | PayPal         | Monthly                | Young Adult |                      30 |
|         585 |   70 | Male   | Socks          | Clothing    |              94 | Indiana        | M    | White     | Spring |           4.7 | Yes      | Free Shipping  | Yes              |                 20 | Debit Card     | Monthly                | Senior      |                      30 |
|         586 |   69 | Male   | Socks          | Clothing    |              23 | South Carolina | M    | Gray      | Fall   |           2.8 | Yes      | Next Day Air   | Yes              |                  5 | Cash           | Every 3 Months         | Senior      |                      90 |
|         587 |   45 | Male   | Hoodie         | Clothing    |              20 | Wisconsin      | S    | Blue      | Winter |           4.9 | Yes      | 2-Day Shipping | Yes              |                  9 | Venmo          | Annually               | Middle-Aged |                     365 |
|         588 |   29 | Male   | Socks          | Clothing    |              86 | Washington     | S    | Maroon    | Fall   |           4.2 | Yes      | Express        | Yes              |                 48 | Debit Card     | Every 3 Months         | Young Adult |                      90 |
|         589 |   47 | Male   | Boots          | Footwear    |              60 | South Dakota   | M    | Violet    | Fall   |             3 | Yes      | Standard       | Yes              |                  9 | Debit Card     | Quarterly              | Middle-Aged |                      90 |
|         590 |   28 | Male   | Shirt          | Clothing    |              70 | Minnesota      | M    | Orange    | Fall   |           3.4 | Yes      | 2-Day Shipping | Yes              |                 40 | PayPal         | Annually               | Young Adult |                     365 |
|         591 |   64 | Male   | Belt           | Accessories |              39 | Alaska         | S    | Turquoise | Fall   |           4.6 | Yes      | Standard       | Yes              |                 30 | Venmo          | Fortnightly            | Senior      |                      14 |
|         592 |   47 | Male   | Backpack       | Accessories |              37 | Kentucky       | L    | Olive     | Fall   |           4.2 | Yes      | Store Pickup   | Yes              |                  6 | Debit Card     | Bi-Weekly              | Middle-Aged |                      14 |
|         593 |   60 | Male   | Boots          | Footwear    |              29 | North Dakota   | M    | Brown     | Fall   |           3.2 | Yes      | Free Shipping  | Yes              |                 42 | Venmo          | Every 3 Months         | Senior      |                      90 |
|         594 |   67 | Male   | Coat           | Outerwear   |              35 | Alaska         | S    | Green     | Winter |           4.4 | Yes      | Store Pickup   | Yes              |                  9 | PayPal         | Every 3 Months         | Senior      |                      90 |
|         595 |   35 | Male   | Hoodie         | Clothing    |              83 | Oklahoma       | S    | Brown     | Winter |           2.5 | Yes      | Next Day Air   | Yes              |                  6 | Debit Card     | Monthly                | Adult       |                      30 |
|         596 |   30 | Male   | Shoes          | Footwear    |              77 | Delaware       | M    | Silver    | Summer |           3.6 | Yes      | Next Day Air   | Yes              |                 47 | PayPal         | Quarterly              | Young Adult |                      90 |
|         597 |   23 | Male   | Shoes          | Footwear    |              37 | Montana        | XL   | White     | Summer |           4.5 | Yes      | Store Pickup   | Yes              |                 36 | Venmo          | Annually               | Young Adult |                     365 |
|         598 |   70 | Male   | Jewelry        | Accessories |              69 | Alaska         | L    | Gold      | Summer |           3.4 | Yes      | Standard       | Yes              |                 19 | Bank Transfer  | Fortnightly            | Senior      |                      14 |
|         599 |   21 | Male   | Dress          | Clothing    |              66 | California     | L    | Green     | Winter |           3.2 | Yes      | 2-Day Shipping | Yes              |                 30 | Cash           | Every 3 Months         | Young Adult |                      90 |
|         600 |   51 | Male   | Boots          | Footwear    |              26 | Massachusetts  | L    | Teal      | Spring |           4.2 | Yes      | Standard       | Yes              |                 27 | Debit Card     | Every 3 Months         | Middle-Aged |                      90 |
|         601 |   22 | Male   | Hat            | Accessories |              63 | South Carolina | M    | Charcoal  | Spring |             5 | Yes      | 2-Day Shipping | Yes              |                 25 | Venmo          | Monthly                | Young Adult |                      30 |
|         602 |   32 | Male   | Backpack       | Accessories |              38 | West Virginia  | M    | Maroon    | Summer |           4.7 | Yes      | Store Pickup   | Yes              |                  5 | Cash           | Fortnightly            | Adult       |                      14 |
|         603 |   37 | Male   | Shoes          | Footwear    |              58 | Oregon         | L    | Lavender  | Summer |           4.2 | Yes      | Next Day Air   | Yes              |                 10 | Cash           | Every 3 Months         | Adult       |                      90 |
|         604 |   31 | Male   | Handbag        | Accessories |              46 | Massachusetts  | L    | Green     | Winter |           3.4 | Yes      | 2-Day Shipping | Yes              |                 26 | PayPal         | Every 3 Months         | Young Adult |                      90 |
|         605 |   44 | Male   | Sunglasses     | Accessories |              92 | West Virginia  | S    | Pink      | Fall   |           4.4 | Yes      | Store Pickup   | Yes              |                 11 | Credit Card    | Every 3 Months         | Adult       |                      90 |
|         606 |   40 | Male   | Hat            | Accessories |              32 | California     | XL   | Charcoal  | Winter |           4.2 | Yes      | Standard       | Yes              |                 17 | Bank Transfer  | Weekly                 | Adult       |                       7 |
|         607 |   27 | Male   | Scarf          | Accessories |              90 | Colorado       | M    | Blue      | Spring |           4.5 | Yes      | Standard       | Yes              |                 44 | PayPal         | Monthly                | Young Adult |                      30 |
|         608 |   47 | Male   | Hoodie         | Clothing    |              23 | Indiana        | L    | Purple    | Fall   |           2.8 | Yes      | Next Day Air   | Yes              |                 44 | Cash           | Monthly                | Middle-Aged |                      30 |
|         609 |   41 | Male   | Backpack       | Accessories |              25 | Delaware       | S    | Gold      | Fall   |           3.3 | Yes      | Next Day Air   | Yes              |                 21 | Venmo          | Every 3 Months         | Adult       |                      90 |
|         610 |   51 | Male   | Sweater        | Clothing    |              54 | Ohio           | L    | Purple    | Fall   |           4.6 | Yes      | Next Day Air   | Yes              |                 49 | Credit Card    | Fortnightly            | Middle-Aged |                      14 |
|         611 |   53 | Male   | Shorts         | Clothing    |              72 | Oklahoma       | M    | Charcoal  | Summer |           2.5 | Yes      | Free Shipping  | Yes              |                 27 | Bank Transfer  | Every 3 Months         | Middle-Aged |                      90 |
|         612 |   43 | Male   | Scarf          | Accessories |              33 | California     | M    | Black     | Winter |           4.7 | Yes      | Store Pickup   | Yes              |                 19 | Cash           | Monthly                | Adult       |                      30 |
|         613 |   67 | Male   | Hat            | Accessories |              43 | New Hampshire  | L    | Lavender  | Fall   |           4.6 | Yes      | Express        | Yes              |                 33 | Credit Card    | Quarterly              | Senior      |                      90 |
|         614 |   61 | Male   | Coat           | Outerwear   |              51 | Pennsylvania   | L    | Lavender  | Fall   |           2.6 | Yes      | Standard       | Yes              |                 46 | Cash           | Bi-Weekly              | Senior      |                      14 |
|         615 |   68 | Male   | Jewelry        | Accessories |              85 | Idaho          | M    | Lavender  | Winter |             4 | Yes      | Standard       | Yes              |                 21 | Credit Card    | Bi-Weekly              | Senior      |                      14 |
|         616 |   67 | Male   | Sandals        | Footwear    |             100 | Maryland       | L    | Olive     | Summer |           2.6 | Yes      | Next Day Air   | Yes              |                 23 | Venmo          | Annually               | Senior      |                     365 |
|         617 |   29 | Male   | Gloves         | Accessories |              72 | Pennsylvania   | L    | Teal      | Spring |           4.6 | Yes      | Free Shipping  | Yes              |                 38 | Credit Card    | Every 3 Months         | Young Adult |                      90 |
|         618 |   50 | Male   | Backpack       | Accessories |              57 | Colorado       | M    | Maroon    | Fall   |           2.6 | Yes      | Standard       | Yes              |                  2 | Bank Transfer  | Quarterly              | Middle-Aged |                      90 |
|         619 |   61 | Male   | Jacket         | Outerwear   |              94 | Indiana        | L    | Cyan      | Spring |             4 | Yes      | Express        | Yes              |                 21 | Debit Card     | Bi-Weekly              | Senior      |                      14 |
|         620 |   19 | Male   | Backpack       | Accessories |              34 | Nebraska       | M    | Charcoal  | Summer |           4.6 | Yes      | Store Pickup   | Yes              |                  1 | Debit Card     | Every 3 Months         | Young Adult |                      90 |
|         621 |   33 | Male   | Backpack       | Accessories |              89 | Rhode Island   | M    | Black     | Fall   |           3.7 | Yes      | 2-Day Shipping | Yes              |                 10 | Venmo          | Every 3 Months         | Adult       |                      90 |
|         622 |   51 | Male   | Sunglasses     | Accessories |              27 | Kansas         | S    | Red       | Fall   |           4.4 | Yes      | Store Pickup   | Yes              |                 45 | Credit Card    | Weekly                 | Middle-Aged |                       7 |
|         623 |   69 | Male   | Socks          | Clothing    |              63 | Georgia        | S    | Peach     | Spring |             4 | Yes      | Next Day Air   | Yes              |                 44 | Bank Transfer  | Fortnightly            | Senior      |                      14 |
|         624 |   19 | Male   | Shoes          | Footwear    |              70 | Nevada         | M    | White     | Fall   |           4.7 | Yes      | Standard       | Yes              |                 48 | PayPal         | Bi-Weekly              | Young Adult |                      14 |
|         625 |   55 | Male   | Pants          | Clothing    |              87 | South Carolina | XL   | Pink      | Fall   |           3.4 | Yes      | Express        | Yes              |                 21 | PayPal         | Annually               | Middle-Aged |                     365 |
|         626 |   49 | Male   | Jewelry        | Accessories |              79 | Delaware       | M    | Red       | Fall   |             4 | Yes      | Next Day Air   | Yes              |                  1 | Venmo          | Weekly                 | Middle-Aged |                       7 |
|         627 |   31 | Male   | Sunglasses     | Accessories |              79 | New Hampshire  | M    | Indigo    | Spring |           3.9 | Yes      | Standard       | Yes              |                 10 | Venmo          | Annually               | Young Adult |                     365 |
|         628 |   42 | Male   | Sandals        | Footwear    |              44 | Oregon         | L    | Black     | Winter |           4.1 | Yes      | Express        | Yes              |                 24 | PayPal         | Monthly                | Adult       |                      30 |
|         629 |   69 | Male   | Sweater        | Clothing    |              85 | Massachusetts  | M    | White     | Fall   |           3.7 | Yes      | 2-Day Shipping | Yes              |                 29 | Credit Card    | Monthly                | Senior      |                      30 |
|         630 |   26 | Male   | Shoes          | Footwear    |              90 | Vermont        | L    | Beige     | Spring |           4.7 | Yes      | Standard       | Yes              |                 11 | Debit Card     | Annually               | Young Adult |                     365 |
|         631 |   41 | Male   | Jewelry        | Accessories |              94 | Mississippi    | S    | Silver    | Fall   |           4.3 | Yes      | 2-Day Shipping | Yes              |                 33 | Debit Card     | Annually               | Adult       |                     365 |
|         632 |   55 | Male   | Boots          | Footwear    |              68 | Washington     | S    | Violet    | Summer |           4.1 | Yes      | Store Pickup   | Yes              |                 27 | Cash           | Fortnightly            | Middle-Aged |                      14 |
|         633 |   35 | Male   | Backpack       | Accessories |              51 | Wyoming        | M    | Red       | Winter |           3.9 | Yes      | Next Day Air   | Yes              |                 19 | Venmo          | Fortnightly            | Adult       |                      14 |
|         634 |   66 | Male   | Sandals        | Footwear    |              33 | Minnesota      | M    | Orange    | Spring |           2.9 | Yes      | Express        | Yes              |                 50 | Debit Card     | Quarterly              | Senior      |                      90 |
|         635 |   36 | Male   | Sneakers       | Footwear    |              60 | Ohio           | M    | Teal      | Summer |           3.9 | Yes      | Standard       | Yes              |                 46 | PayPal         | Weekly                 | Adult       |                       7 |
|         636 |   27 | Male   | Hoodie         | Clothing    |              59 | South Carolina | M    | Brown     | Fall   |           4.3 | Yes      | 2-Day Shipping | Yes              |                 28 | Cash           | Quarterly              | Young Adult |                      90 |
|         637 |   41 | Male   | Handbag        | Accessories |              30 | Wisconsin      | M    | Indigo    | Summer |           2.8 | Yes      | Store Pickup   | Yes              |                 14 | Bank Transfer  | Every 3 Months         | Adult       |                      90 |
|         638 |   21 | Male   | Sweater        | Clothing    |              20 | Tennessee      | M    | Cyan      | Winter |           3.4 | Yes      | 2-Day Shipping | Yes              |                 46 | Cash           | Fortnightly            | Young Adult |                      14 |
|         639 |   53 | Male   | Sandals        | Footwear    |              20 | Maryland       | S    | Blue      | Summer |           2.7 | Yes      | Express        | Yes              |                 41 | PayPal         | Monthly                | Middle-Aged |                      30 |
|         640 |   54 | Male   | Dress          | Clothing    |              24 | Mississippi    | L    | Olive     | Spring |             4 | Yes      | 2-Day Shipping | Yes              |                 50 | Credit Card    | Annually               | Middle-Aged |                     365 |
|         641 |   53 | Male   | Skirt          | Clothing    |              88 | Minnesota      | M    | Gray      | Summer |           4.4 | Yes      | Store Pickup   | Yes              |                 28 | Debit Card     | Fortnightly            | Middle-Aged |                      14 |
|         642 |   47 | Male   | Blouse         | Clothing    |              78 | Alaska         | M    | Red       | Winter |           3.9 | Yes      | 2-Day Shipping | Yes              |                 23 | Credit Card    | Every 3 Months         | Middle-Aged |                      90 |
|         643 |   64 | Male   | Skirt          | Clothing    |              25 | Arkansas       | L    | Red       | Spring |           2.8 | Yes      | 2-Day Shipping | Yes              |                 14 | Debit Card     | Bi-Weekly              | Senior      |                      14 |
|         644 |   18 | Male   | Sweater        | Clothing    |              57 | Oregon         | XL   | Green     | Winter |           3.2 | Yes      | Next Day Air   | Yes              |                 10 | Bank Transfer  | Every 3 Months         | Young Adult |                      90 |
|         645 |   68 | Male   | Backpack       | Accessories |              93 | Louisiana      | S    | Blue      | Summer |           4.3 | Yes      | Next Day Air   | Yes              |                 37 | Cash           | Weekly                 | Senior      |                       7 |
|         646 |   62 | Male   | Hoodie         | Clothing    |              42 | Oklahoma       | S    | Purple    | Summer |           4.2 | Yes      | Express        | Yes              |                 15 | Venmo          | Bi-Weekly              | Senior      |                      14 |
|         647 |   51 | Male   | Boots          | Footwear    |              54 | Indiana        | XL   | Pink      | Spring |           4.9 | Yes      | Standard       | Yes              |                 19 | Venmo          | Bi-Weekly              | Middle-Aged |                      14 |
|         648 |   54 | Male   | Blouse         | Clothing    |              70 | Mississippi    | XL   | Charcoal  | Summer |           3.7 | Yes      | Express        | Yes              |                 23 | Credit Card    | Fortnightly            | Middle-Aged |                      14 |
|         649 |   22 | Male   | Hoodie         | Clothing    |              31 | Michigan       | M    | Brown     | Winter |           4.1 | Yes      | Store Pickup   | Yes              |                 35 | Credit Card    | Weekly                 | Young Adult |                       7 |
|         650 |   53 | Male   | Pants          | Clothing    |              93 | Delaware       | L    | Orange    | Spring |           4.2 | Yes      | Store Pickup   | Yes              |                 33 | PayPal         | Every 3 Months         | Middle-Aged |                      90 |
|         651 |   34 | Male   | Gloves         | Accessories |              40 | Florida        | M    | Magenta   | Spring |           3.9 | Yes      | Next Day Air   | Yes              |                 12 | Bank Transfer  | Annually               | Adult       |                     365 |
|         652 |   32 | Male   | Hat            | Accessories |              32 | Arkansas       | L    | Yellow    | Summer |           2.9 | Yes      | Next Day Air   | Yes              |                 41 | Venmo          | Fortnightly            | Adult       |                      14 |
|         653 |   64 | Male   | Sunglasses     | Accessories |              27 | Minnesota      | M    | Beige     | Winter |           3.1 | Yes      | Free Shipping  | Yes              |                 27 | Venmo          | Weekly                 | Senior      |                       7 |
|         654 |   20 | Male   | Scarf          | Accessories |              68 | North Dakota   | M    | Olive     | Winter |           3.6 | Yes      | 2-Day Shipping | Yes              |                 45 | Cash           | Fortnightly            | Young Adult |                      14 |
|         655 |   24 | Male   | Handbag        | Accessories |              59 | California     | L    | Gray      | Summer |           4.4 | Yes      | 2-Day Shipping | Yes              |                 23 | Venmo          | Annually               | Young Adult |                     365 |
|         656 |   20 | Male   | Handbag        | Accessories |              36 | Mississippi    | S    | Purple    | Fall   |           3.1 | Yes      | Free Shipping  | Yes              |                 19 | Venmo          | Monthly                | Young Adult |                      30 |
|         657 |   42 | Male   | Jeans          | Clothing    |              23 | Pennsylvania   | M    | Beige     | Summer |           3.9 | Yes      | Standard       | Yes              |                  6 | PayPal         | Quarterly              | Adult       |                      90 |
|         658 |   48 | Male   | Jacket         | Outerwear   |              80 | Arizona        | M    | White     | Winter |           4.3 | Yes      | Free Shipping  | Yes              |                  6 | PayPal         | Quarterly              | Middle-Aged |                      90 |
|         659 |   62 | Male   | Backpack       | Accessories |              37 | Louisiana      | S    | White     | Fall   |           4.9 | Yes      | Store Pickup   | Yes              |                 20 | Venmo          | Weekly                 | Senior      |                       7 |
|         660 |   62 | Male   | Shorts         | Clothing    |              52 | Virginia       | S    | Gold      | Spring |           3.6 | Yes      | 2-Day Shipping | Yes              |                  8 | Cash           | Weekly                 | Senior      |                       7 |
|         661 |   50 | Male   | Coat           | Outerwear   |              79 | Montana        | M    | Olive     | Fall   |             5 | Yes      | 2-Day Shipping | Yes              |                 39 | Credit Card    | Quarterly              | Middle-Aged |                      90 |
|         662 |   57 | Male   | Shirt          | Clothing    |              68 | Iowa           | XL   | Green     | Fall   |           4.1 | Yes      | Store Pickup   | Yes              |                 39 | Credit Card    | Quarterly              | Middle-Aged |                      90 |
|         663 |   24 | Male   | Gloves         | Accessories |              98 | Illinois       | L    | Magenta   | Fall   |           2.8 | Yes      | Express        | Yes              |                 39 | Venmo          | Bi-Weekly              | Young Adult |                      14 |
|         664 |   59 | Male   | Dress          | Clothing    |              83 | Alaska         | M    | Charcoal  | Fall   |           4.7 | Yes      | Express        | Yes              |                 23 | Credit Card    | Monthly                | Senior      |                      30 |
|         665 |   63 | Male   | Pants          | Clothing    |              83 | Colorado       | M    | Indigo    | Winter |           4.4 | Yes      | Express        | Yes              |                 41 | PayPal         | Bi-Weekly              | Senior      |                      14 |
|         666 |   41 | Male   | Pants          | Clothing    |              55 | New Mexico     | M    | Peach     | Spring |           4.9 | Yes      | 2-Day Shipping | Yes              |                 50 | Credit Card    | Annually               | Adult       |                     365 |
|         667 |   35 | Male   | Hoodie         | Clothing    |              26 | Colorado       | L    | Turquoise | Winter |           3.1 | Yes      | Free Shipping  | Yes              |                 30 | Debit Card     | Quarterly              | Adult       |                      90 |
|         668 |   34 | Male   | Sunglasses     | Accessories |              76 | Arizona        | S    | Blue      | Winter |           2.6 | Yes      | Standard       | Yes              |                 32 | Bank Transfer  | Quarterly              | Adult       |                      90 |
|         669 |   49 | Male   | T-shirt        | Clothing    |              85 | Hawaii         | S    | Turquoise | Fall   |           2.9 | Yes      | Express        | Yes              |                 35 | Bank Transfer  | Monthly                | Middle-Aged |                      30 |
|         670 |   43 | Male   | Jacket         | Outerwear   |              89 | Illinois       | M    | Gray      | Spring |           3.3 | Yes      | Free Shipping  | Yes              |                 45 | Venmo          | Bi-Weekly              | Adult       |                      14 |
